ElapsedTime,SOC,BatteryVoltage,InSun
0.00,0.1998,23.2795,1
10.00,0.1996,23.2790,1
20.00,0.1994,23.2784,1
30.00,0.1991,23.2780,1
40.00,0.1990,23.2775,1
50.00,0.1988,23.2770,1
60.00,0.1986,23.2766,1
70.00,0.1984,23.2761,1
80.00,0.1982,23.2757,1
90.00,0.1980,23.2753,1
100.00,0.1979,23.2749,1
110.00,0.1977,23.2746,1
120.00,0.1976,23.2742,1
130.00,0.1974,23.2738,1
140.00,0.1973,23.2735,1
150.00,0.1972,23.2732,1
160.00,0.1970,23.2729,1
170.00,0.1969,23.2726,1
180.00,0.1968,23.2723,1
190.00,0.1967,23.2720,1
200.00,0.1966,23.2718,1
210.00,0.1965,23.2716,1
220.00,0.1964,23.2713,1
230.00,0.1963,23.2711,1
240.00,0.1962,23.2709,1
250.00,0.1961,23.2707,1
260.00,0.1961,23.2706,1
270.00,0.1960,23.2704,1
280.00,0.1959,23.2703,1
290.00,0.1959,23.2702,1
300.00,0.1958,23.2700,1
310.00,0.1958,23.2699,1
320.00,0.1958,23.2699,1
330.00,0.1957,23.2698,1
340.00,0.1957,23.2697,1
350.00,0.1957,23.2697,1
360.00,0.1957,23.2696,1
370.00,0.1957,23.2696,1
380.00,0.1957,23.2696,1
390.00,0.1957,23.2696,1
400.00,0.1957,23.2696,1
410.00,0.1957,23.2697,1
420.00,0.1957,23.2697,1
430.00,0.1957,23.2698,1
440.00,0.1958,23.2699,1
450.00,0.1958,23.2700,1
460.00,0.1959,23.2701,1
470.00,0.1959,23.2702,1
480.00,0.1960,23.2703,1
490.00,0.1960,23.2704,1
500.00,0.1961,23.2706,1
510.00,0.1961,23.2708,1
520.00,0.1962,23.2709,1
530.00,0.1963,23.2711,1
540.00,0.1964,23.2713,1
550.00,0.1965,23.2715,1
560.00,0.1966,23.2718,1
570.00,0.1967,23.2720,1
580.00,0.1968,23.2723,1
590.00,0.1969,23.2725,1
600.00,0.1970,23.2728,1
610.00,0.1971,23.2731,1
620.00,0.1973,23.2734,1
630.00,0.1974,23.2737,1
640.00,0.1975,23.2741,1
650.00,0.1977,23.2744,1
660.00,0.1978,23.2747,1
670.00,0.1980,23.2751,1
680.00,0.1981,23.2755,1
690.00,0.1983,23.2759,1
700.00,0.1984,23.2763,1
710.00,0.1986,23.2767,1
720.00,0.1988,23.2771,1
730.00,0.1990,23.2775,1
740.00,0.1992,23.2780,1
750.00,0.1994,23.2784,1
760.00,0.1995,23.2789,1
770.00,0.1997,23.2794,1
780.00,0.2000,23.2799,1
790.00,0.2002,23.2804,1
800.00,0.2004,23.2809,1
810.00,0.2006,23.2814,1
820.00,0.2008,23.2820,1
830.00,0.2010,23.2825,1
840.00,0.2013,23.2831,1
850.00,0.2015,23.2836,1
860.00,0.2018,23.2842,1
870.00,0.2020,23.2848,1
880.00,0.2022,23.2854,1
890.00,0.2025,23.2860,1
900.00,0.2028,23.2866,1
910.00,0.2030,23.2873,1
920.00,0.2033,23.2879,1
930.00,0.2036,23.2885,1
940.00,0.2038,23.2892,1
950.00,0.2041,23.2899,1
960.00,0.2044,23.2905,1
970.00,0.2047,23.2912,1
980.00,0.2050,23.2919,1
990.00,0.2053,23.2926,1
1000.00,0.2056,23.2934,1
1010.00,0.2059,23.2941,1
1020.00,0.2062,23.2948,1
1030.00,0.2065,23.2956,1
1040.00,0.2068,23.2963,1
1050.00,0.2071,23.2971,1
1060.00,0.2074,23.2978,1
1070.00,0.2078,23.2986,1
1080.00,0.2081,23.2994,1
1090.00,0.2084,23.3002,1
1100.00,0.2087,23.3010,1
1110.00,0.2091,23.3018,1
1120.00,0.2094,23.3026,1
1130.00,0.2098,23.3035,1
1140.00,0.2101,23.3043,1
1150.00,0.2105,23.3051,1
1160.00,0.2108,23.3060,1
1170.00,0.2112,23.3068,1
1180.00,0.2115,23.3077,1
1190.00,0.2119,23.3086,1
1200.00,0.2123,23.3094,1
1210.00,0.2126,23.3103,1
1220.00,0.2130,23.3112,1
1230.00,0.2134,23.3121,1
1240.00,0.2138,23.3130,1
1250.00,0.2141,23.3139,1
1260.00,0.2145,23.3149,1
1270.00,0.2149,23.3158,1
1280.00,0.2153,23.3167,1
1290.00,0.2157,23.3176,1
1300.00,0.2161,23.3186,1
1310.00,0.2165,23.3195,1
1320.00,0.2169,23.3205,1
1330.00,0.2173,23.3214,1
1340.00,0.2177,23.3224,1
1350.00,0.2181,23.3234,1
1360.00,0.2185,23.3244,1
1370.00,0.2189,23.3253,1
1380.00,0.2193,23.3263,1
1390.00,0.2197,23.3273,1
1400.00,0.2201,23.3283,1
1410.00,0.2205,23.3293,1
1420.00,0.2210,23.3303,1
1430.00,0.2214,23.3313,1
1440.00,0.2218,23.3323,1
1450.00,0.2222,23.3333,1
1460.00,0.2226,23.3343,1
1470.00,0.2231,23.3353,1
1480.00,0.2235,23.3364,1
1490.00,0.2239,23.3374,1
1500.00,0.2243,23.3384,1
1510.00,0.2248,23.3394,1
1520.00,0.2252,23.3405,1
1530.00,0.2256,23.3415,1
1540.00,0.2261,23.3426,1
1550.00,0.2265,23.3436,1
1560.00,0.2269,23.3446,1
1570.00,0.2274,23.3457,1
1580.00,0.2278,23.3467,1
1590.00,0.2282,23.3478,1
1600.00,0.2287,23.3488,1
1610.00,0.2291,23.3499,1
1620.00,0.2295,23.3509,1
1630.00,0.2300,23.3520,1
1640.00,0.2304,23.3530,1
1650.00,0.2309,23.3541,1
1660.00,0.2313,23.3551,1
1670.00,0.2317,23.3562,1
1680.00,0.2322,23.3572,1
1690.00,0.2326,23.3583,1
1700.00,0.2330,23.3593,1
1710.00,0.2335,23.3604,1
1720.00,0.2339,23.3614,1
1730.00,0.2344,23.3625,1
1740.00,0.2348,23.3635,1
1750.00,0.2352,23.3646,1
1760.00,0.2357,23.3656,1
1770.00,0.2361,23.3666,1
1780.00,0.2365,23.3677,1
1790.00,0.2370,23.3687,1
1800.00,0.2374,23.3698,1
1810.00,0.2378,23.3708,1
1820.00,0.2383,23.3718,1
1830.00,0.2387,23.3728,1
1840.00,0.2391,23.3739,1
1850.00,0.2395,23.3749,1
1860.00,0.2400,23.3759,1
1870.00,0.2404,23.3769,1
1880.00,0.2408,23.3779,1
1890.00,0.2412,23.3789,1
1900.00,0.2416,23.3800,1
1910.00,0.2421,23.3809,1
1920.00,0.2425,23.3819,1
1930.00,0.2429,23.3829,1
1940.00,0.2433,23.3839,1
1950.00,0.2437,23.3849,1
1960.00,0.2441,23.3859,1
1970.00,0.2445,23.3868,1
1980.00,0.2449,23.3878,1
1990.00,0.2453,23.3888,1
2000.00,0.2457,23.3897,1
2010.00,0.2461,23.3907,1
2020.00,0.2465,23.3916,1
2030.00,0.2469,23.3925,1
2040.00,0.2473,23.3935,1
2050.00,0.2477,23.3944,1
2060.00,0.2480,23.3953,1
2070.00,0.2484,23.3962,1
2080.00,0.2488,23.3971,1
2090.00,0.2492,23.3980,1
2100.00,0.2495,23.3988,1
2110.00,0.2499,23.3997,1
2120.00,0.2502,23.4006,1
2130.00,0.2506,23.4014,1
2140.00,0.2509,23.4023,1
2150.00,0.2513,23.4031,1
2160.00,0.2516,23.4039,1
2170.00,0.2520,23.4048,1
2180.00,0.2523,23.4056,1
2190.00,0.2527,23.4064,1
2200.00,0.2530,23.4072,1
2210.00,0.2533,23.4079,1
2220.00,0.2536,23.4087,1
2230.00,0.2539,23.4095,1
2240.00,0.2542,23.4102,1
2250.00,0.2546,23.4109,1
2260.00,0.2549,23.4117,1
2270.00,0.2552,23.4124,1
2280.00,0.2554,23.4131,1
2290.00,0.2557,23.4138,1
2300.00,0.2560,23.4144,1
2310.00,0.2563,23.4151,1
2320.00,0.2566,23.4157,1
2330.00,0.2568,23.4164,1
2340.00,0.2571,23.4170,1
2350.00,0.2573,23.4176,1
2360.00,0.2576,23.4182,1
