ElapsedTime,SOC,BatteryVoltage,InSun
0.00,0.8035,24.7284,1
10.00,0.8071,24.7370,1
20.00,0.8107,24.7456,1
30.00,0.8143,24.7544,1
40.00,0.8180,24.7632,1
50.00,0.8217,24.7722,1
60.00,0.8255,24.7812,1
70.00,0.8293,24.7903,1
80.00,0.8332,24.7996,1
90.00,0.8370,24.8089,1
100.00,0.8410,24.8183,1
110.00,0.8449,24.8278,1
120.00,0.8489,24.8374,1
130.00,0.8530,24.8471,1
140.00,0.8570,24.8569,1
150.00,0.8611,24.8668,1
160.00,0.8653,24.8767,1
170.00,0.8695,24.8867,1
180.00,0.8737,24.8968,1
190.00,0.8779,24.9070,1
200.00,0.8822,24.9173,1
210.00,0.8865,24.9276,1
220.00,0.8908,24.9380,1
230.00,0.8952,24.9485,1
240.00,0.8996,24.9591,1
250.00,0.9041,24.9697,1
260.00,0.9085,24.9804,1
270.00,0.9130,24.9912,1
280.00,0.9175,25.0020,1
290.00,0.9221,25.0129,1
300.00,0.9266,25.0239,1
310.00,0.9312,25.0349,1
320.00,0.9358,25.0460,1
330.00,0.9405,25.0572,1
340.00,0.9452,25.0684,1
350.00,0.9498,25.0796,1
360.00,0.9546,25.0909,1
370.00,0.9593,25.1023,1
380.00,0.9640,25.1137,1
390.00,0.9688,25.1252,1
400.00,0.9736,25.1367,1
410.00,0.9784,25.1482,1
420.00,0.9833,25.1598,1
430.00,0.9881,25.1715,1
440.00,0.9930,25.1832,1
450.00,0.9979,25.1949,1
460.00,1.0000,25.2000,1
470.00,1.0000,25.2000,1
480.00,1.0000,25.2000,1
490.00,1.0000,25.2000,1
500.00,1.0000,25.2000,1
510.00,1.0000,25.2000,1
520.00,1.0000,25.2000,1
530.00,1.0000,25.2000,1
540.00,1.0000,25.2000,1
550.00,1.0000,25.2000,1
560.00,1.0000,25.2000,1
570.00,1.0000,25.2000,1
580.00,1.0000,25.2000,1
590.00,1.0000,25.2000,1
600.00,1.0000,25.2000,1
610.00,1.0000,25.2000,1
620.00,1.0000,25.2000,1
630.00,1.0000,25.2000,1
640.00,1.0000,25.2000,1
650.00,1.0000,25.2000,1
660.00,1.0000,25.2000,1
670.00,1.0000,25.2000,1
680.00,1.0000,25.2000,1
690.00,1.0000,25.2000,1
700.00,1.0000,25.2000,1
710.00,1.0000,25.2000,1
720.00,1.0000,25.2000,1
730.00,1.0000,25.2000,1
740.00,1.0000,25.2000,1
750.00,1.0000,25.2000,1
760.00,1.0000,25.2000,1
770.00,1.0000,25.2000,1
780.00,1.0000,25.2000,1
790.00,1.0000,25.2000,1
800.00,1.0000,25.2000,1
810.00,1.0000,25.2000,1
820.00,1.0000,25.2000,1
830.00,1.0000,25.2000,1
840.00,1.0000,25.2000,1
850.00,1.0000,25.2000,1
860.00,1.0000,25.2000,1
870.00,1.0000,25.2000,1
880.00,1.0000,25.2000,1
890.00,1.0000,25.2000,1
900.00,1.0000,25.2000,1
910.00,1.0000,25.2000,1
920.00,1.0000,25.2000,1
930.00,1.0000,25.2000,1
940.00,1.0000,25.2000,1
950.00,1.0000,25.2000,1
960.00,1.0000,25.2000,1
970.00,1.0000,25.2000,1
980.00,1.0000,25.2000,1
990.00,1.0000,25.2000,1
1000.00,1.0000,25.2000,1
1010.00,1.0000,25.2000,1
1020.00,1.0000,25.2000,1
1030.00,1.0000,25.2000,1
1040.00,1.0000,25.2000,1
1050.00,1.0000,25.2000,1
1060.00,1.0000,25.2000,1
1070.00,1.0000,25.2000,1
1080.00,1.0000,25.2000,1
1090.00,1.0000,25.2000,1
1100.00,1.0000,25.2000,1
1110.00,1.0000,25.2000,1
1120.00,1.0000,25.2000,1
1130.00,1.0000,25.2000,1
1140.00,1.0000,25.2000,1
1150.00,1.0000,25.2000,1
1160.00,1.0000,25.2000,1
1170.00,1.0000,25.2000,1
1180.00,1.0000,25.2000,1
1190.00,1.0000,25.2000,1
1200.00,1.0000,25.2000,1
1210.00,1.0000,25.2000,1
1220.00,1.0000,25.2000,1
1230.00,1.0000,25.2000,1
1240.00,1.0000,25.2000,1
1250.00,1.0000,25.2000,1
1260.00,1.0000,25.2000,1
1270.00,1.0000,25.2000,1
1280.00,1.0000,25.2000,1
1290.00,1.0000,25.2000,1
1300.00,1.0000,25.2000,1
1310.00,1.0000,25.2000,1
1320.00,1.0000,25.2000,1
1330.00,1.0000,25.2000,1
1340.00,1.0000,25.2000,1
1350.00,1.0000,25.2000,1
1360.00,1.0000,25.2000,1
1370.00,1.0000,25.2000,1
1380.00,1.0000,25.2000,1
1390.00,1.0000,25.2000,1
1400.00,1.0000,25.2000,1
1410.00,1.0000,25.2000,1
1420.00,1.0000,25.2000,1
1430.00,1.0000,25.2000,1
1440.00,1.0000,25.2000,1
1450.00,1.0000,25.2000,1
1460.00,1.0000,25.2000,1
1470.00,1.0000,25.2000,1
1480.00,1.0000,25.2000,1
1490.00,1.0000,25.2000,1
1500.00,1.0000,25.2000,1
1510.00,1.0000,25.2000,1
1520.00,1.0000,25.2000,1
1530.00,1.0000,25.2000,1
1540.00,1.0000,25.2000,1
1550.00,1.0000,25.2000,1
1560.00,1.0000,25.2000,1
1570.00,1.0000,25.2000,1
1580.00,1.0000,25.2000,1
1590.00,1.0000,25.2000,1
1600.00,1.0000,25.2000,1
1610.00,1.0000,25.2000,1
1620.00,1.0000,25.2000,1
1630.00,1.0000,25.2000,1
1640.00,1.0000,25.2000,1
1650.00,1.0000,25.2000,1
1660.00,1.0000,25.2000,1
1670.00,1.0000,25.2000,1
1680.00,1.0000,25.2000,1
1690.00,1.0000,25.2000,1
1700.00,1.0000,25.2000,1
1710.00,1.0000,25.2000,1
1720.00,1.0000,25.2000,1
1730.00,1.0000,25.2000,1
1740.00,1.0000,25.2000,1
1750.00,1.0000,25.2000,1
1760.00,1.0000,25.2000,1
1770.00,1.0000,25.2000,1
1780.00,1.0000,25.2000,1
1790.00,1.0000,25.2000,1
1800.00,1.0000,25.2000,1
1810.00,1.0000,25.2000,1
1820.00,1.0000,25.2000,1
1830.00,1.0000,25.2000,1
1840.00,1.0000,25.2000,1
1850.00,1.0000,25.2000,1
1860.00,1.0000,25.2000,1
1870.00,1.0000,25.2000,1
1880.00,1.0000,25.2000,1
1890.00,1.0000,25.2000,1
1900.00,1.0000,25.2000,1
1910.00,1.0000,25.2000,1
1920.00,1.0000,25.2000,1
