ElapsedTime,SOC,BatteryVoltage,InSun
0.00,0.2037,23.2888,1
10.00,0.2074,23.2977,1
20.00,0.2111,23.3067,1
30.00,0.2149,23.3158,1
40.00,0.2187,23.3249,1
50.00,0.2226,23.3342,1
60.00,0.2265,23.3437,1
70.00,0.2306,23.3534,1
80.00,0.2347,23.3632,1
90.00,0.2388,23.3732,1
100.00,0.2431,23.3834,1
110.00,0.2473,23.3936,1
120.00,0.2516,23.4039,1
130.00,0.2557,23.4137,1
140.00,0.2591,23.4219,1
150.00,0.2618,23.4283,1
160.00,0.2637,23.4328,1
170.00,0.2649,23.4356,1
180.00,0.2655,23.4373,1
190.00,0.2659,23.4382,1
200.00,0.2667,23.4402,1
210.00,0.2680,23.4432,1
220.00,0.2697,23.4472,1
230.00,0.2717,23.4522,1
240.00,0.2741,23.4579,1
250.00,0.2768,23.4644,1
260.00,0.2798,23.4715,1
270.00,0.2829,23.4789,1
280.00,0.2861,23.4867,1
290.00,0.2896,23.4951,1
300.00,0.2932,23.5037,1
310.00,0.2968,23.5124,1
320.00,0.3003,23.5207,1
330.00,0.3035,23.5283,1
340.00,0.3062,23.5350,1
350.00,0.3084,23.5402,1
360.00,0.3100,23.5439,1
370.00,0.3107,23.5457,1
380.00,0.3114,23.5474,1
390.00,0.3120,23.5488,1
400.00,0.3131,23.5515,1
410.00,0.3149,23.5558,1
420.00,0.3173,23.5614,1
430.00,0.3202,23.5685,1
440.00,0.3236,23.5767,1
450.00,0.3274,23.5858,1
460.00,0.3313,23.5950,1
470.00,0.3352,23.6044,1
480.00,0.3391,23.6139,1
490.00,0.3431,23.6235,1
500.00,0.3471,23.6331,1
510.00,0.3513,23.6431,1
520.00,0.3557,23.6536,1
530.00,0.3602,23.6644,1
540.00,0.3648,23.6755,1
550.00,0.3692,23.6861,1
560.00,0.3732,23.6957,1
570.00,0.3766,23.7038,1
580.00,0.3793,23.7104,1
590.00,0.3813,23.7152,1
600.00,0.3829,23.7190,1
610.00,0.3846,23.7232,1
620.00,0.3868,23.7283,1
630.00,0.3893,23.7344,1
640.00,0.3924,23.7417,1
650.00,0.3958,23.7500,1
660.00,0.3994,23.7586,1
670.00,0.4030,23.7672,1
680.00,0.4066,23.7759,1
690.00,0.4102,23.7846,1
700.00,0.4139,23.7933,1
710.00,0.4176,23.8023,1
720.00,0.4214,23.8114,1
730.00,0.4254,23.8209,1
740.00,0.4294,23.8306,1
750.00,0.4336,23.8406,1
760.00,0.4379,23.8509,1
770.00,0.4422,23.8614,1
780.00,0.4467,23.8720,1
790.00,0.4511,23.8827,1
800.00,0.4552,23.8924,1
810.00,0.4584,23.9002,1
820.00,0.4608,23.9060,1
830.00,0.4624,23.9096,1
840.00,0.4631,23.9115,1
850.00,0.4636,23.9127,1
860.00,0.4642,23.9140,1
870.00,0.4648,23.9156,1
880.00,0.4660,23.9184,1
890.00,0.4677,23.9224,1
900.00,0.4698,23.9275,1
910.00,0.4722,23.9333,1
920.00,0.4749,23.9397,1
930.00,0.4777,23.9465,1
940.00,0.4806,23.9534,1
950.00,0.4836,23.9606,1
960.00,0.4867,23.9681,1
970.00,0.4898,23.9755,1
980.00,0.4928,23.9826,1
990.00,0.4955,23.9892,1
1000.00,0.4978,23.9948,1
1010.00,0.5000,24.0000,1
1020.00,0.5018,24.0043,1
1030.00,0.5031,24.0075,1
1040.00,0.5039,24.0093,1
1050.00,0.5046,24.0110,1
1060.00,0.5056,24.0134,1
1070.00,0.5071,24.0170,1
1080.00,0.5090,24.0216,1
1090.00,0.5113,24.0270,1
1100.00,0.5139,24.0332,1
1110.00,0.5167,24.0401,1
1120.00,0.5196,24.0470,1
1130.00,0.5224,24.0538,1
1140.00,0.5252,24.0605,1
1150.00,0.5280,24.0672,1
1160.00,0.5308,24.0740,1
1170.00,0.5338,24.0812,1
1180.00,0.5370,24.0889,1
1190.00,0.5404,24.0970,1
1200.00,0.5439,24.1055,1
1210.00,0.5475,24.1141,1
1220.00,0.5508,24.1218,1
1230.00,0.5538,24.1291,1
1240.00,0.5565,24.1357,1
1250.00,0.5590,24.1417,1
1260.00,0.5612,24.1469,1
1270.00,0.5631,24.1514,1
1280.00,0.5648,24.1554,1
1290.00,0.5664,24.1594,1
1300.00,0.5685,24.1644,1
1310.00,0.5712,24.1708,1
1320.00,0.5744,24.1786,1
1330.00,0.5778,24.1867,1
1340.00,0.5812,24.1949,1
1350.00,0.5847,24.2032,1
1360.00,0.5882,24.2116,1
1370.00,0.5917,24.2200,1
1380.00,0.5952,24.2286,1
1390.00,0.5988,24.2372,1
1400.00,0.6025,24.2461,1
1410.00,0.6063,24.2551,1
1420.00,0.6101,24.2643,1
1430.00,0.6140,24.2736,1
1440.00,0.6179,24.2830,1
1450.00,0.6219,24.2925,1
1460.00,0.6258,24.3020,1
1470.00,0.6292,24.3101,1
1480.00,0.6319,24.3165,1
1490.00,0.6338,24.3212,1
1500.00,0.6351,24.3243,1
1510.00,0.6360,24.3263,1
1520.00,0.6364,24.3273,1
1530.00,0.6370,24.3289,1
1540.00,0.6382,24.3316,1
1550.00,0.6398,24.3355,1
1560.00,0.6418,24.3404,1
1570.00,0.6443,24.3463,1
1580.00,0.6471,24.3529,1
1590.00,0.6501,24.3602,1
1600.00,0.6533,24.3680,1
1610.00,0.6567,24.3760,1
1620.00,0.6602,24.3845,1
1630.00,0.6639,24.3933,1
1640.00,0.6676,24.4022,1
1650.00,0.6712,24.4109,1
1660.00,0.6745,24.4188,1
1670.00,0.6774,24.4258,1
1680.00,0.6798,24.4314,1
1690.00,0.6815,24.4355,1
1700.00,0.6824,24.4377,1
1710.00,0.6831,24.4395,1
1720.00,0.6836,24.4407,1
1730.00,0.6847,24.4432,1
1740.00,0.6864,24.4473,1
1750.00,0.6887,24.4528,1
1760.00,0.6915,24.4596,1
1770.00,0.6949,24.4677,1
1780.00,0.6987,24.4769,1
1790.00,0.7026,24.4862,1
1800.00,0.7065,24.4956,1
1810.00,0.7104,24.5050,1
1820.00,0.7144,24.5146,1
1830.00,0.7184,24.5241,1
1840.00,0.7225,24.5339,1
1850.00,0.7267,24.5442,1
1860.00,0.7311,24.5548,1
1870.00,0.7357,24.5657,1
1880.00,0.7402,24.5765,1
1890.00,0.7444,24.5865,1
1900.00,0.7480,24.5952,1
1910.00,0.7511,24.6026,1
