ElapsedTime,SOC,BatteryVoltage,InSun
0.00,0.2035,23.2884,1
10.00,0.2071,23.2970,1
20.00,0.2107,23.3056,1
30.00,0.2143,23.3143,1
40.00,0.2180,23.3231,1
50.00,0.2217,23.3320,1
60.00,0.2254,23.3410,1
70.00,0.2292,23.3501,1
80.00,0.2330,23.3592,1
90.00,0.2369,23.3685,1
100.00,0.2408,23.3778,1
110.00,0.2447,23.3872,1
120.00,0.2486,23.3967,1
130.00,0.2526,23.4063,1
140.00,0.2566,23.4159,1
150.00,0.2607,23.4257,1
160.00,0.2648,23.4355,1
170.00,0.2689,23.4453,1
180.00,0.2730,23.4553,1
190.00,0.2772,23.4653,1
200.00,0.2814,23.4754,1
210.00,0.2857,23.4856,1
220.00,0.2899,23.4959,1
230.00,0.2942,23.5062,1
240.00,0.2986,23.5166,1
250.00,0.3029,23.5270,1
260.00,0.3073,23.5376,1
270.00,0.3117,23.5481,1
280.00,0.3162,23.5588,1
290.00,0.3206,23.5695,1
300.00,0.3251,23.5803,1
310.00,0.3296,23.5911,1
320.00,0.3342,23.6020,1
330.00,0.3387,23.6129,1
340.00,0.3433,23.6239,1
350.00,0.3479,23.6350,1
360.00,0.3525,23.6461,1
370.00,0.3572,23.6573,1
380.00,0.3619,23.6685,1
390.00,0.3666,23.6798,1
400.00,0.3713,23.6911,1
410.00,0.3760,23.7024,1
420.00,0.3808,23.7138,1
430.00,0.3855,23.7253,1
440.00,0.3903,23.7368,1
450.00,0.3951,23.7483,1
460.00,0.3999,23.7599,1
470.00,0.4048,23.7715,1
480.00,0.4096,23.7831,1
490.00,0.4145,23.7948,1
500.00,0.4194,23.8065,1
510.00,0.4243,23.8183,1
520.00,0.4292,23.8301,1
530.00,0.4341,23.8419,1
540.00,0.4391,23.8538,1
550.00,0.4440,23.8656,1
560.00,0.4490,23.8775,1
570.00,0.4539,23.8895,1
580.00,0.4589,23.9014,1
590.00,0.4639,23.9134,1
600.00,0.4689,23.9254,1
610.00,0.4739,23.9374,1
620.00,0.4789,23.9495,1
630.00,0.4840,23.9615,1
640.00,0.4890,23.9736,1
650.00,0.4940,23.9857,1
660.00,0.4991,23.9978,1
670.00,0.5041,24.0099,1
680.00,0.5092,24.0220,1
690.00,0.5142,24.0341,1
700.00,0.5193,24.0462,1
710.00,0.5243,24.0584,1
720.00,0.5294,24.0705,1
730.00,0.5345,24.0827,1
740.00,0.5395,24.0948,1
750.00,0.5446,24.1070,1
760.00,0.5496,24.1191,1
770.00,0.5547,24.1313,1
780.00,0.5598,24.1434,1
790.00,0.5648,24.1556,1
800.00,0.5699,24.1677,1
810.00,0.5749,24.1798,1
820.00,0.5800,24.1920,1
830.00,0.5850,24.2041,1
840.00,0.5901,24.2162,1
