ElapsedTime,SOC,BatteryVoltage,InSun
0.0000,0.2000,23.2790,1
10.0000,0.2001,23.2800,1
20.0000,0.2007,23.2810,1
30.0000,0.2013,23.2830,1
40.0000,0.2018,23.2840,1
50.0000,0.2024,23.2850,1
60.0000,0.2030,23.2870,1
70.0000,0.2035,23.2880,1
80.0000,0.2041,23.2890,1
90.0000,0.2046,23.2910,1
100.0000,0.2052,23.2920,1
110.0000,0.2058,23.2930,1
120.0000,0.2063,23.2950,1
130.0000,0.2069,23.2960,1
140.0000,0.2075,23.2970,1
150.0000,0.2080,23.2990,1
160.0000,0.2086,23.3000,1
170.0000,0.2092,23.3010,1
180.0000,0.2097,23.3030,1
190.0000,0.2103,23.3040,1
200.0000,0.2109,23.3060,1
210.0000,0.2114,23.3070,1
220.0000,0.2120,23.3080,1
230.0000,0.2125,23.3100,1
240.0000,0.2131,23.3110,1
250.0000,0.2126,23.3100,1
260.0000,0.2120,23.3080,1
270.0000,0.2115,23.3070,1
280.0000,0.2109,23.3060,1
290.0000,0.2104,23.3040,1
300.0000,0.2098,23.3030,1
310.0000,0.2093,23.3020,1
320.0000,0.2087,23.3000,1
330.0000,0.2082,23.2990,1
340.0000,0.2077,23.2980,1
350.0000,0.2071,23.2970,1
360.0000,0.2066,23.2950,1
370.0000,0.2060,23.2940,1
380.0000,0.2055,23.2930,1
390.0000,0.2049,23.2910,1
400.0000,0.2044,23.2900,1
410.0000,0.2038,23.2890,1
420.0000,0.2033,23.2870,1
430.0000,0.2027,23.2860,1
440.0000,0.2022,23.2850,1
450.0000,0.2016,23.2830,1
460.0000,0.2011,23.2820,1
470.0000,0.2006,23.2810,1
480.0000,0.2000,23.2800,1
490.0000,0.1995,23.2780,1
500.0000,0.1989,23.2770,1
510.0000,0.1984,23.2760,1
520.0000,0.1978,23.2740,1
530.0000,0.1973,23.2730,1
540.0000,0.1967,23.2720,1
550.0000,0.1962,23.2700,1
560.0000,0.1956,23.2690,1
570.0000,0.1951,23.2680,1
580.0000,0.1945,23.2660,1
590.0000,0.1940,23.2650,1
600.0000,0.1935,23.2640,1
610.0000,0.1929,23.2620,1
620.0000,0.1924,23.2610,1
630.0000,0.1918,23.2600,1
640.0000,0.1913,23.2590,1
650.0000,0.1907,23.2570,1
660.0000,0.1902,23.2560,1
670.0000,0.1896,23.2550,1
680.0000,0.1891,23.2530,1
690.0000,0.1885,23.2520,1
700.0000,0.1880,23.2510,1
710.0000,0.1875,23.2490,1
720.0000,0.1869,23.2480,1
730.0000,0.1864,23.2470,1
740.0000,0.1858,23.2450,1
750.0000,0.1853,23.2440,1
760.0000,0.1847,23.2430,1
770.0000,0.1842,23.2420,1
780.0000,0.1836,23.2400,1
790.0000,0.1831,23.2390,1
800.0000,0.1825,23.2380,1
810.0000,0.1820,23.2360,1
