ElapsedTime,SOC,BatteryVoltage,InSun
0.00,0.2020,23.2849,1
10.00,0.2041,23.2898,1
20.00,0.2061,23.2947,1
30.00,0.2082,23.2997,1
40.00,0.2103,23.3048,1
50.00,0.2125,23.3099,1
60.00,0.2146,23.3151,1
70.00,0.2168,23.3203,1
80.00,0.2190,23.3256,1
90.00,0.2212,23.3310,1
100.00,0.2235,23.3364,1
110.00,0.2257,23.3418,1
120.00,0.2280,23.3473,1
130.00,0.2303,23.3528,1
140.00,0.2327,23.3584,1
150.00,0.2350,23.3640,1
160.00,0.2374,23.3697,1
170.00,0.2398,23.3754,1
180.00,0.2422,23.3812,1
190.00,0.2446,23.3870,1
200.00,0.2470,23.3928,1
210.00,0.2495,23.3987,1
220.00,0.2519,23.4047,1
230.00,0.2544,23.4106,1
240.00,0.2569,23.4167,1
250.00,0.2595,23.4227,1
260.00,0.2620,23.4288,1
270.00,0.2646,23.4350,1
280.00,0.2671,23.4411,1
290.00,0.2697,23.4474,1
300.00,0.2723,23.4536,1
310.00,0.2750,23.4599,1
320.00,0.2776,23.4662,1
330.00,0.2802,23.4726,1
340.00,0.2829,23.4790,1
350.00,0.2856,23.4854,1
360.00,0.2883,23.4919,1
370.00,0.2910,23.4983,1
380.00,0.2937,23.5049,1
390.00,0.2964,23.5114,1
400.00,0.2992,23.5180,1
410.00,0.3019,23.5246,1
420.00,0.3047,23.5312,1
430.00,0.3075,23.5379,1
440.00,0.3102,23.5446,1
450.00,0.3130,23.5513,1
460.00,0.3158,23.5580,1
470.00,0.3187,23.5648,1
480.00,0.3215,23.5715,1
490.00,0.3243,23.5783,1
500.00,0.3272,23.5852,1
510.00,0.3300,23.5920,1
520.00,0.3329,23.5989,1
530.00,0.3357,23.6058,1
540.00,0.3386,23.6126,1
550.00,0.3415,23.6196,1
560.00,0.3444,23.6265,1
570.00,0.3473,23.6334,1
580.00,0.3502,23.6404,1
590.00,0.3531,23.6474,1
600.00,0.3560,23.6544,1
610.00,0.3589,23.6614,1
620.00,0.3618,23.6684,1
630.00,0.3648,23.6754,1
640.00,0.3677,23.6824,1
650.00,0.3706,23.6895,1
660.00,0.3735,23.6965,1
670.00,0.3765,23.7036,1
680.00,0.3794,23.7106,1
690.00,0.3824,23.7177,1
700.00,0.3853,23.7248,1
710.00,0.3883,23.7318,1
720.00,0.3912,23.7389,1
730.00,0.3942,23.7460,1
740.00,0.3971,23.7531,1
750.00,0.4001,23.7602,1
